Timestamp(us), ax, ay, az, gx, gy, gz
3891641082,-4395,-14739,-3224,6,497,-199
3891661071,-4413,-14571,-3754,17,565,-136
3891681060,-3956,-14881,-3801,17,604,-108
3891701049,-2983,-15511,-3736,17,632,-103
3891721038,-1603,-15755,-4078,15,602,-110
3891741027,-1341,-15882,-4773,-14,635,-127
3891761016,-1557,-15777,-4025,-32,780,-169
3891781005,-3048,-15948,-3675,-51,1004,-188
3891800994,-3602,-15842,-3602,-80,1478,-135
3891820983,-2275,-15418,-2859,-43,1586,-91
3891840972,-2971,-15793,-1790,21,1103,-91
3891860961,-4801,-16200,-2232,62,525,-108
3891880950,-4962,-16271,-3791,53,384,-109
3891900939,-4230,-16835,-4465,73,572,-78
3891920928,-3703,-17208,-4554,64,657,-43
3891940917,-2547,-16899,-4895,-13,494,-58
3891960906,-3419,-17180,-5310,-122,226,-71
3891980895,-4384,-17187,-5778,-244,123,-20
3892000885,-3704,-17093,-4901,-283,245,-9
3892020874,-2490,-16673,-4265,-267,385,8
3892040863,-2442,-16214,-4319,-262,283,30
3892060852,-1746,-15881,-2847,-248,54,-19
3892080841,-2813,-15603,-3417,-144,-110,-9
3892100830,-2537,-14921,-5886,-81,-81,36
3892120819,-2282,-14185,-6041,-68,-14,50
3892140808,-2198,-14228,-5409,-44,-92,32
3892160797,-2459,-14736,-6279,-56,-204,63
3892180786,-2938,-15135,-6112,-91,-155,118
3892200775,-3076,-15639,-4625,-107,-113,151
3892220764,-3711,-16067,-3445,-93,-71,147
3892240753,-3941,-16303,-3013,-71,19,137
3892260742,-3438,-16262,-3103,-71,56,123
3892280731,-3018,-16194,-2870,-90,-9,85
3892300720,-3027,-15783,-2976,-84,-105,29
3892320709,-2984,-15735,-4560,-97,-73,15
3892340698,-2111,-15535,-5924,-140,-7,29
3892360687,-2454,-15761,-5242,-160,-49,39
3892380676,-3263,-15962,-5552,-153,-118,32
3892400665,-3519,-16000,-5816,-158,-120,27
3892420654,-3533,-16038,-5445,-178,-99,16
3892440643,-3212,-16024,-5428,-202,-48,14
3892460632,-3424,-16106,-5082,-202,56,38
3892480621,-3675,-15611,-5885,-204,103,53
3892500610,-3922,-15118,-7091,-239,77,53
3892520599,-3940,-15372,-7019,-304,29,28
3892540588,-3871,-15368,-6540,-363,-19,-8
3892560577,-3960,-15202,-7244,-417,-12,-15
3892580566,-3649,-14792,-7767,-472,-7,-21
3892600555,-4235,-14653,-7954,-543,-54,-38
3892620544,-4650,-15042,-8516,-652,-42,-42
3892640533,-4288,-15596,-8169,-796,44,-33
3892660522,-4565,-15996,-7966,-978,167,-12
3892680511,-5049,-16165,-8397,-1114,262,17
3892700500,-4733,-15881,-9315,-1181,344,67
3892720489,-4157,-15496,-10009,-1256,425,138
3892740478,-4433,-14931,-10974,-1342,507,223
3892760467,-4587,-14267,-11720,-1426,560,293
3892780456,-4103,-13931,-12342,-1520,621,357
3892800445,-3937,-13815,-12717,-1628,669,423
3892820434,-3744,-13734,-13250,-1750,643,476
3892840423,-4572,-13758,-13394,-1889,582,496
3892860412,-3962,-13811,-13665,-2047,552,494
3892880401,-3671,-13621,-13882,-2206,459,499
3892900390,-3572,-12720,-14805,-2337,428,558
3892920379,-2923,-12272,-15422,-2435,434,633
3892940368,-3408,-11989,-15667,-2532,333,665
3892960357,-3676,-11691,-16042,-2665,278,666
3892980346,-3200,-11314,-16518,-2826,238,642
3893000335,-2928,-10226,-16734,-2982,150,618
3893020324,-2756,-8731,-16758,-3110,71,615
3893040313,-2199,-7286,-16738,-3196,75,622
3893060302,-1664,-5892,-16661,-3263,19,603
3893080291,-2155,-4794,-16162,-3344,-41,581
3893100280,-2237,-3409,-15846,-3409,-22,553
3893120269,-2221,-2196,-15392,-3489,-21,515
3893140258,-2566,-930,-14540,-3518,3,484
3893160247,-1510,-95,-14033,-3529,-29,444
3893180236,-2379,886,-13142,-3540,-69,391
3893200225,-2395,1703,-13183,-3520,-32,329
3893220214,-2342,2232,-12124,-3460,17,261
3893240203,-2334,2640,-9951,-3360,-46,183
3893260192,-2681,4265,-10467,-3222,-55,140
3893280181,-2863,4861,-9206,-3025,-19,82
3893300170,-2673,5736,-8379,-2855,-36,30
3893320159,-3302,7006,-8451,-2673,-6,5
3893340148,-2776,7233,-6235,-2385,-40,-19
3893360137,-3105,8033,-5295,-2057,-137,-4
3893380126,-3558,9147,-5418,-1766,-105,17
3893400115,-3074,9698,-4903,-1518,-12,36
3893420104,-2650,10136,-3805,-1244,-82,60
3893440093,-3237,10399,-1627,-902,-255,87
3893460083,-3102,11343,-1903,-551,-249,137
3893480072,-2973,12084,-3665,-262,-147,158
3893500061,-3606,11961,-3834,16,-137,146
3893520050,-3871,12374,-4993,276,-179,125
3893540039,-3861,12330,-4223,524,-251,72
3893560028,-3555,13000,-4016,777,-302,22
3893580017,-3188,13153,-3358,1063,-365,-13
3893600006,-3293,13011,-3493,1362,-400,-34
3893619995,-3239,12690,-4763,1656,-419,-58
3893639984,-3760,11941,-5179,1946,-491,-110
3893659973,-3662,10914,-4752,2239,-549,-172
3893679962,-2479,10361,-6309,2506,-521,-251
3893699951,-2739,9033,-6549,2723,-503,-340
3893719940,-3441,7079,-6127,2962,-458,-432
3893739929,-3401,5432,-7296,3214,-378,-521
3893759918,-3208,3613,-8105,3424,-354,-621
3893779907,-2908,2511,-10765,3532,-225,-705
3893799896,-4413,137,-10415,3609,54,-746
3893819885,-2517,-1602,-13400,3625,166,-779
3893839874,-4198,-3352,-12076,3586,57,-835
3893859863,-4541,-4282,-12941,3512,241,-821
3893879852,-2972,-4026,-15264,3498,618,-753
3893899841,-2446,-5923,-15491,3449,643,-748
3893919830,-3347,-7806,-16735,3376,582,-728
3893939819,-2985,-9543,-15293,3291,541,-697
3893959808,-3329,-9928,-15513,3133,315,-723
3893979797,-2563,-9046,-18525,3122,458,-687
3893999786,-3501,-11107,-15644,3043,522,-652
3894019775,-3151,-11830,-16816,2901,416,-624
3894039764,-3021,-12380,-15009,2785,367,-579
3894059753,-2561,-12429,-14455,2671,187,-566
3894079742,-3181,-12269,-15598,2633,111,-544
3894099731,-3966,-13450,-14529,2535,99,-501
3894119720,-3794,-14060,-14903,2373,100,-439
3894139709,-3461,-15012,-13723,2169,17,-394
3894159698,-4251,-15402,-13083,1957,-131,-384
3894179687,-3963,-15694,-13133,1833,-114,-372
3894199676,-4387,-16593,-12239,1659,-140,-349
3894219665,-4828,-16365,-13386,1425,-146,-322
3894239654,-5055,-15991,-13287,1149,-86,-275
3894259643,-4741,-16346,-13092,863,-79,-243
3894279632,-4715,-15947,-13309,634,-53,-176
3894299621,-5001,-15433,-13683,361,-8,-106
3894319610,-5318,-15216,-13604,89,60,-28
3894339599,-4654,-15077,-13468,-182,138,57
3894359588,-4728,-14738,-14004,-430,155,147
3894379577,-5156,-14211,-15025,-666,195,248
3894399566,-4764,-14184,-15264,-953,261,335
3894419555,-4732,-13964,-15378,-1259,303,420
3894439544,-4244,-13797,-15699,-1506,354,514
3894459533,-4158,-13827,-15763,-1749,354,603
3894479522,-3803,-13865,-15964,-2010,339,677
3894499511,-3588,-13808,-16061,-2268,310,740
3894519500,-3492,-13660,-16290,-2502,293,783
3894539489,-3559,-13504,-16453,-2707,279,818
3894559478,-3125,-13564,-16423,-2905,209,822
3894579467,-3381,-12952,-16645,-3100,66,811
3894599456,-3033,-12219,-16671,-3261,24,810
3894619445,-3299,-11049,-17095,-3408,15,807
3894639434,-2869,-10314,-16531,-3536,-15,782
3894659423,-2833,-8970,-16517,-3645,-133,745
3894679412,-2820,-7558,-15885,-3699,-162,734
3894699401,-2823,-6628,-14055,-3709,-187,710
3894719390,-3232,-4621,-13587,-3645,-287,671
3894739379,-2982,-3101,-12550,-3562,-273,636
3894759368,-2723,-1779,-12453,-3504,-232,598
3894779357,-2930,-641,-11915,-3430,-221,554
3894799346,-2717,463,-12854,-3360,-256,500
3894819335,-3174,1215,-12623,-3290,-208,449
