Timestamp(us), ax, ay, az, gx, gy, gz
3004768524,-15102,3836,-673,-72,-168,-114
3004788513,-15229,3650,-580,-77,-99,-160
3004808502,-15798,3574,-403,-86,-81,-191
3004828491,-15777,3599,72,-99,-76,-223
3004848480,-16426,3548,91,-116,-287,-219
3004868469,-17170,3580,4,-141,-414,-196
3004888458,-17268,3398,292,-154,-408,-189
3004908447,-17820,3024,802,-156,-540,-176
3004928436,-17242,3290,1665,-148,-654,-158
3004948425,-16695,3619,1692,-121,-930,-89
3004968414,-16776,3923,1576,-111,-1037,-15
3004988403,-16408,3932,1537,-93,-903,4
3005008392,-16612,3569,1959,-77,-790,1
3005028381,-16856,3390,2558,-65,-729,15
3005048370,-16866,3311,2622,-47,-727,46
3005068359,-16532,3263,2755,-3,-716,71
3005088348,-16532,3263,2755,17,-700,100
3005108337,-16221,3148,2923,25,-752,129
3005128326,-16024,3237,2918,25,-752,129
3005148315,-15884,3469,2965,13,-659,153
3005168304,-15366,3652,2916,-18,-476,163
3005188293,-14962,3502,2629,-39,-335,148
3005208282,-14550,3276,2812,-62,-290,108
3005228271,-14453,3023,3141,-107,-314,66
3005248260,-15016,3131,3219,-157,-317,19
3005268249,-15631,3361,2845,-202,-305,-31
3005288238,-16364,3645,2617,-225,-340,-55
3005308227,-17614,3713,2614,-208,-338,-25
3005328216,-18274,3491,3578,-180,-321,69
3005348205,-18815,3442,3987,-228,-160,232
3005368194,-18738,3799,3238,-314,102,391
3005388183,-17658,4257,2073,-385,419,515
3005408172,-16477,4472,1369,-469,786,569
3005428161,-14792,4576,1593,-544,978,568
3005448150,-14564,3587,2242,-552,1056,532
3005468139,-14952,3230,3172,-544,1294,432
3005488128,-15364,3315,3289,-541,1483,296
3005508117,-15486,3405,3022,-555,1419,144
3005528106,-14669,4222,4219,-542,1042,20
3005548095,-14509,3890,4196,-506,492,-5
3005568084,-15128,3101,3049,-495,96,-2
3005588073,-15721,3634,2339,-478,-1,-31
3005608062,-16284,3788,1142,-470,212,-74
3005628051,-16004,3770,966,-487,457,-142
3005648040,-14956,4443,2351,-479,383,-184
3005668029,-14541,3570,2473,-443,70,-139
3005688018,-15476,2865,1755,-447,-207,-107
3005708007,-15998,3293,1472,-448,-269,-134
3005727996,-15756,3152,1588,-460,-233,-185
3005747985,-15246,2909,2406,-474,-213,-220
3005767974,-15246,3226,2957,-451,-220,-242
3005787963,-15897,3312,2814,-406,-210,-279
3005807952,-15827,3388,2804,-351,-171,-323
3005827941,-15824,3462,2795,-293,-159,-342
3005847930,-16086,3280,2700,-256,-130,-335
3005867919,-16555,3659,3513,-220,-69,-320
3005887908,-16914,3585,3882,-185,-67,-296
3005907897,-17173,3380,3652,-150,-154,-258
3005927886,-17362,2935,2972,-114,-230,-231
3005947875,-17295,2905,2428,-69,-188,-214
3005967864,-17224,3093,2517,-33,-30,-211
3005987854,-16944,2851,2606,-20,90,-228
3006007843,-16343,2601,3063,-2,97,-204
3006027832,-15985,2435,3601,19,22,-137
3006047821,-16388,2632,3569,31,-44,-86
3006067810,-16875,2742,2901,16,2,-66
3006087799,-17076,2684,2661,-12,96,-81
3006107788,-16773,2420,2679,-1,33,-95
3006127777,-17091,2499,2130,63,-118,-78
3006147766,-17679,2739,1224,125,-45,-49
3006167755,-17365,3049,1049,128,147,-33
3006187744,-16786,3268,1303,93,248,21
3006207733,-16777,3302,1313,60,240,85
3006227722,-16637,3388,1412,46,214,121
3006247711,-16330,3484,1593,37,173,131
3006267700,-16182,3433,1629,11,145,125
3006287689,-15968,3219,2079,-16,147,111
3006307678,-15841,2968,2657,-22,122,100
3006327667,-15894,2797,2470,-2,135,102
3006347656,-15804,2811,1962,27,178,116
3006367645,-16031,2617,1297,43,267,110
3006387634,-15849,2425,1246,33,420,75
3006407623,-15235,2316,2125,5,515,50
3006427612,-15183,2335,2726,5,543,55
3006447601,-15542,2278,2493,0,583,71
3006467590,-15696,2217,1959,-46,642,76
3006487579,-16109,2004,1928,-106,709,69
3006507568,-16020,1725,2705,-176,748,31
3006527557,-15634,1666,4157,-229,646,-16
3006547546,-15323,1680,4574,-210,466,-44
3006567535,-15285,1752,4323,-163,319,-56
3006587524,-15193,1855,4264,-103,225,-77
3006607513,-15239,1883,4604,-41,142,-104
3006627502,-15765,1702,4709,35,71,-125
3006647491,-16048,1594,4527,142,40,-146
3006667480,-16206,1557,4340,251,93,-154
3006687469,-16223,1535,4280,352,175,-144
3006707458,-16081,1516,3857,453,304,-129
3006727447,-15936,1562,2929,542,491,-121
3006747436,-16023,1593,2112,619,719,-133
3006767425,-15719,1852,1564,691,939,-165
3006787414,-15477,2213,751,755,1124,-205
3006807403,-15304,2433,-173,798,1290,-258
3006827392,-15098,2379,-699,829,1324,-326
3006847381,-14922,2103,-774,871,1167,-390
3006867370,-14829,1735,-927,908,877,-445
3006887359,-14968,1546,-1762,925,545,-494
3006907348,-15982,1091,-2681,908,313,-537
3006927337,-16993,392,-2867,867,212,-573
3006947326,-17448,-363,-2430,836,164,-590
3006967315,-17417,-694,-2224,828,98,-572
3006987304,-17943,-511,-2946,801,99,-496
3007007293,-18088,-312,-3539,769,180,-417
3007027282,-18060,-358,-3680,739,202,-352
3007047271,-17753,-723,-3112,724,113,-290
3007067260,-17578,-1163,-2462,727,-108,-223
3007087249,-18132,-1509,-2615,696,-190,-141
3007107238,-17663,-1414,-2460,633,-143,-80
3007127227,-17378,-1208,-2418,576,-97,-45
3007147216,-17129,-815,-2813,548,-23,-22
3007167205,-17100,-618,-3207,558,20,-7
3007187194,-16938,-774,-2960,605,5,8
3007207183,-16672,-945,-2921,624,-88,40
3007227172,-16525,-1039,-3128,591,-196,80
3007247161,-16154,-1039,-2925,530,-241,110
3007267150,-15936,-1002,-2473,464,-263,111
3007287139,-15762,-938,-2278,421,-288,86
3007307128,-15583,-868,-2181,400,-315,51
3007327117,-15586,-827,-1942,386,-345,18
3007347106,-15642,-883,-1879,376,-320,-16
3007367095,-15586,-901,-1843,365,-275,-54
3007387084,-15779,-969,-1800,365,-259,-97
3007407073,-16094,-1163,-1676,381,-259,-129
3007427062,-16345,-1316,-1586,400,-265,-143
3007447052,-16509,-1531,-1369,415,-230,-143
3007467041,-16542,-1617,-1375,421,-162,-133
3007487030,-16472,-1533,-1411,414,-99,-113
3007507019,-16392,-1392,-1303,416,-75,-103
3007527008,-16320,-1350,-1235,421,-66,-102
3007546997,-16200,-1344,-1160,420,-30,-105
