Timestamp(us), mx, my, mz
3004748535,754,-161,-638
3004768524,754,-155,-601
3004788513,754,-143,-626
3004808502,754,-173,-601
3004828491,766,-179,-626
3004848480,754,-179,-626
3004868469,748,-196,-576
3004888458,754,-173,-651
3004908447,754,-202,-638
3004928436,730,-196,-576
3004948425,730,-179,-576
3004968414,736,-196,-515
3004988403,736,-191,-526
3005008392,736,-185,-503
3005028381,718,-196,-490
3005048370,742,-208,-442
3005068359,724,-191,-442
3005088348,718,-196,-478
3005108337,700,-202,-467
3005128326,712,-191,-380
3005148315,712,-191,-380
3005168304,712,-196,-380
3005188293,694,-179,-417
3005208282,712,-173,-417
3005228271,712,-173,-380
3005248260,718,-167,-367
3005268249,706,-196,-392
3005288238,712,-191,-367
3005308227,688,-179,-355
3005328216,706,-173,-355
3005348205,700,-191,-344
3005368194,700,-173,-330
3005388183,694,-185,-344
3005408172,718,-185,-405
3005428161,712,-173,-417
3005448150,730,-161,-405
3005468139,730,-155,-442
3005488128,742,-155,-467
3005508117,760,-161,-526
3005528106,766,-167,-551
3005548095,760,-173,-588
3005568084,760,-179,-576
3005588073,772,-196,-601
3005608062,748,-173,-590
3005628051,772,-185,-613
3005648040,766,-161,-601
3005668029,766,-208,-638
3005688018,783,-208,-613
3005708007,766,-185,-663
3005727996,766,-202,-626
3005747985,778,-202,-626
3005767974,772,-208,-601
3005787963,772,-196,-626
3005807952,772,-226,-638
3005827941,772,-238,-638
3005847930,783,-238,-601
3005867919,778,-238,-590
3005887908,772,-220,-590
3005907897,772,-256,-551
3005927886,772,-256,-601
3005947875,760,-250,-601
3005967864,766,-256,-601
3005987854,778,-244,-590
3006007843,772,-262,-626
3006027832,754,-262,-565
3006047821,772,-268,-626
3006067810,772,-268,-601
3006087799,772,-274,-626
3006107788,783,-274,-590
3006127777,789,-274,-613
3006147766,748,-268,-565
3006167755,795,-280,-613
3006187744,789,-262,-601
3006207733,778,-274,-601
3006227722,789,-280,-613
3006247711,789,-280,-638
3006267700,801,-268,-638
3006287689,795,-268,-651
3006307678,783,-262,-638
3006327667,795,-250,-638
3006347656,801,-256,-663
3006367645,807,-238,-688
3006387634,807,-256,-651
3006407623,807,-256,-675
3006427612,819,-256,-675
3006447601,813,-244,-713
3006467590,819,-256,-761
3006487579,837,-256,-775
3006507568,837,-244,-773
3006527557,831,-268,-798
3006547546,825,-256,-848
3006567535,825,-268,-848
3006587524,843,-256,-823
3006607513,855,-250,-811
3006627502,849,-250,-848
3006647491,849,-250,-848
3006667480,849,-244,-859
3006687469,867,-244,-884
3006707458,861,-262,-873
3006727447,855,-262,-859
3006747436,843,-268,-848
3006767425,849,-250,-898
3006787414,849,-256,-934
3006807403,837,-262,-909
3006827392,831,-280,-982
3006847381,837,-274,-1019
3006867370,837,-297,-996
3006887359,855,-297,-1019
3006907348,849,-297,-996
3006927337,843,-309,-982
3006947326,837,-327,-1007
3006967315,831,-327,-1007
3006987304,819,-321,-1032
3007007293,837,-357,-1019
3007027282,819,-363,-996
3007047271,837,-351,-996
3007067260,837,-381,-982
3007087249,831,-381,-957
3007107238,813,-357,-921
3007127227,837,-375,-934
3007147216,825,-381,-934
3007167205,825,-387,-934
3007187194,837,-387,-934
3007207183,831,-381,-921
3007227172,831,-387,-898
3007247161,825,-375,-884
3007267150,831,-375,-859
3007287139,843,-357,-848
3007307128,825,-381,-823
3007327117,831,-375,-775
3007347106,825,-375,-761
3007367095,831,-387,-811
3007387084,837,-387,-761
3007407073,825,-381,-773
3007427062,837,-381,-761
3007447052,825,-369,-761
3007467041,837,-375,-725
3007487030,843,-375,-736
3007507019,825,-387,-700
3007527008,825,-398,-711
3007546997,825,-387,-688
3007566986,825,-404,-675
3007586975,831,-392,-688
3007606964,819,-428,-663
3007626953,819,-398,-613
3007646942,813,-398,-638
3007666931,825,-416,-638
