Timestamp(us), ax, ay, az, gx, gy, gz
2348169403,-8239,-2394,-13733,13,-4,-17
2348189392,-8240,-2398,-13658,13,0,-18
2348209381,-8233,-2367,-13687,8,1,-16
2348229370,-8188,-2424,-13702,7,-7,-15
2348249359,-8203,-2438,-13715,4,-10,-14
2348269348,-8268,-2415,-13659,3,-12,-14
2348289337,-8272,-2442,-13653,6,-7,-13
2348309326,-8247,-2446,-13655,8,0,-13
2348329315,-8201,-2416,-13616,11,-10,-13
2348349304,-8220,-2430,-13601,12,-16,-13
2348369293,-8240,-2432,-13564,16,-14,-14
2348389282,-8232,-2408,-13560,19,-17,-14
2348409271,-8298,-2423,-13664,21,-15,-12
2348429260,-8386,-2428,-13676,22,-4,-11
2348449249,-8371,-2450,-13687,24,5,-9
2348469238,-8271,-2482,-13672,22,7,-6
2348489227,-8235,-2440,-13667,17,2,-2
2348509216,-8205,-2419,-13707,14,-4,-2
2348529205,-8230,-2451,-13742,11,-2,-5
2348549194,-8182,-2483,-13705,9,5,-9
2348569183,-8179,-2521,-13674,5,5,-12
2348589172,-8188,-2535,-13706,0,3,-14
2348609161,-8228,-2479,-13713,-3,5,-18
2348629150,-8245,-2477,-13631,-2,6,-22
2348649139,-8264,-2464,-13579,-2,2,-22
2348669128,-8356,-2463,-13645,-5,-2,-21
2348689117,-8368,-2494,-13621,-4,3,-20
2348709106,-8274,-2473,-13560,-1,8,-20
2348729095,-8290,-2457,-13500,0,3,-15
2348749084,-8343,-2413,-13532,0,-7,-10
2348769073,-8394,-2436,-13689,4,3,-9
2348789062,-8334,-2493,-13606,11,24,-9
2348809051,-8185,-2531,-13434,14,19,-11
2348829040,-8109,-2530,-13482,10,-2,-11
2348849029,-8203,-2535,-13653,9,-8,-13
2348869018,-8223,-2505,-13623,15,16,-16
2348889007,-8144,-2444,-13490,18,37,-17
2348908996,-8119,-2344,-13470,14,28,-20
2348928985,-8205,-2281,-13638,12,12,-25
2348948974,-8306,-2254,-13661,19,15,-31
2348968963,-8313,-2351,-13624,25,21,-34
2348988952,-8277,-2436,-13621,26,24,-34
2349008941,-8317,-2520,-13477,24,20,-38
2349028930,-8212,-2602,-13251,35,-1,-49
2349048919,-8077,-2765,-12923,52,-52,-55
2349068908,-8152,-3000,-12730,86,-110,-55
2349088897,-8423,-3179,-12736,135,-122,-62
2349108886,-8474,-3292,-12677,185,-85,-69
2349128875,-8384,-3350,-12640,231,-40,-72
2349148864,-8577,-3325,-12761,266,-30,-72
2349168853,-8653,-3228,-12675,310,-37,-67
2349188842,-8824,-2966,-12678,363,-54,-55
2349208831,-8842,-2925,-12639,426,-41,-37
2349228820,-8763,-3277,-12584,494,-68,-13
2349248809,-8839,-3625,-12530,558,-116,18
2349268798,-8773,-4006,-12327,613,-174,46
2349288787,-8481,-4324,-12362,661,-301,73
2349308776,-8647,-4566,-12812,699,-382,91
2349328765,-8700,-4787,-13194,734,-288,84
2349348754,-8320,-5050,-13203,762,-185,54
2349368743,-8226,-5258,-13158,762,-179,17
2349388732,-8674,-5173,-13241,726,-225,-30
2349408721,-8912,-5069,-13520,685,-293,-83
2349428710,-9121,-4968,-13650,632,-358,-121
2349448699,-9352,-4819,-13515,571,-465,-134
2349468688,-9825,-5152,-13392,509,-576,-132
2349488677,-10083,-5776,-12855,456,-667,-130
2349508666,-9884,-6070,-11981,393,-760,-120
2349528656,-9312,-6197,-11027,325,-911,-100
2349548645,-8765,-6312,-9996,264,-1072,-88
2349568634,-8570,-6357,-9275,235,-1204,-108
2349588623,-8641,-6320,-8775,237,-1189,-176
2349608612,-8476,-6186,-8426,259,-968,-276
2349628601,-8226,-5886,-7898,277,-636,-391
2349648590,-7978,-5388,-7055,287,-464,-506
2349668579,-8199,-5021,-6843,312,-461,-603
2349688568,-8584,-4823,-6957,372,-447,-676
2349708557,-8788,-4709,-7182,439,-325,-723
2349728546,-8805,-4776,-7408,482,-168,-742
2349748535,-8592,-4895,-7422,510,-63,-747
2349768524,-8109,-5220,-7330,526,-17,-746
2349788513,-7717,-5913,-7284,548,3,-754
2349808502,-7633,-6621,-7514,596,9,-797
2349828491,-7563,-6948,-7515,655,-48,-868
2349848480,-7371,-7059,-6944,686,-175,-937
2349868469,-7279,-7022,-6131,699,-302,-984
2349888458,-7164,-7230,-5582,750,-408,-1035
2349908447,-7784,-8467,-6446,861,-358,-1110
2349928436,-8737,-10297,-7585,1019,-65,-1220
2349948425,-9518,-11859,-7460,1179,110,-1342
2349968414,-9803,-12655,-6783,1313,-32,-1406
2349988403,-9905,-13611,-6071,1391,-307,-1375
2350008392,-10467,-14587,-6015,1404,-427,-1248
2350028381,-10576,-15313,-6604,1365,-329,-1095
2350048370,-10621,-16140,-7453,1281,-144,-965
2350068359,-10002,-16879,-7652,1174,5,-858
2350088348,-8969,-17275,-6735,1075,116,-777
2350108337,-8234,-18148,-5365,991,101,-723
2350128326,-9508,-18658,-5303,931,21,-678
2350148315,-9788,-18342,-6605,899,105,-611
2350168304,-9212,-18060,-6921,871,262,-522
2350188293,-8885,-18359,-5570,799,438,-411
2350208282,-7868,-19136,-4529,684,558,-283
2350228271,-7006,-20015,-4762,525,536,-183
2350248260,-7310,-20308,-5923,344,399,-129
2350268249,-7700,-20525,-6691,170,304,-112
2350288238,-7054,-20558,-6255,30,260,-130
2350308227,-6967,-19701,-5380,-91,139,-154
2350328216,-7347,-18004,-4536,-173,92,-148
2350348205,-6718,-15459,-4116,-190,33,-135
2350368194,-6175,-11966,-4591,-164,-78,-121
2350388183,-5383,-9213,-4757,-125,-148,-112
2350408172,-6052,-9357,-3677,-116,-174,-121
2350428161,-7698,-10583,-1846,-106,-129,-140
2350448150,-7003,-10374,-1648,-31,131,-121
2350468139,-4632,-9770,-3337,71,386,-47
2350488128,-3667,-10283,-4251,115,486,-3
2350508117,-4743,-12081,-3417,198,460,-74
2350528106,-4806,-14825,-2287,339,510,-169
2350548095,-4642,-17648,-2467,338,493,-168
2350568084,-3430,-17557,-2764,262,279,-140
2350588073,-4387,-16870,-1966,202,299,-53
2350608062,-5259,-16090,-2797,33,438,2
2350628051,-4723,-16610,-2753,-62,271,-35
2350648040,-5421,-16789,-3544,-183,181,-58
2350668029,-6179,-16455,-4724,-289,345,-94
2350688018,-4514,-15796,-5654,-287,535,-137
2350708007,-3773,-15094,-5646,-244,479,-162
2350727996,-4711,-15057,-4512,-225,363,-154
2350747985,-5640,-15091,-4273,-255,451,-77
2350767974,-4785,-15442,-3965,-237,628,4
2350787963,-4275,-16088,-4583,-256,691,81
2350807952,-4129,-16104,-6258,-314,537,138
2350827941,-3139,-15924,-6627,-329,409,133
2350847930,-4237,-15443,-5240,-328,277,114
2350867919,-3381,-15642,-2534,-257,450,69
2350887908,-2216,-15423,-2497,-221,275,43
2350907897,-4759,-14946,-4535,-205,-22,11
2350927886,-5091,-14142,-5859,-138,3,-75
2350947875,-5495,-13825,-5525,-49,45,-173
2350967864,-5682,-13752,-4954,-22,55,-249
2350987854,-5342,-13803,-5217,-61,-88,-286
2351007843,-6366,-13745,-5882,-89,-207,-271
2351027832,-5108,-13672,-5040,-88,-307,-299
2351047821,-4295,-14095,-3369,-45,-443,-343
2351067810,-3731,-14780,-2211,26,-377,-336
2351087799,-2418,-15202,-3096,74,-247,-284
2351107788,-2270,-15043,-4790,118,-237,-238
2351127777,-2790,-15213,-5897,133,-207,-217
2351147766,-3103,-15431,-6166,125,-69,-192
2351167755,-2887,-15783,-5885,138,108,-150
2351187744,-2055,-16041,-5878,140,287,-77
2351207733,-1514,-15975,-6413,147,313,-29
2351227722,-2234,-16231,-6584,221,210,-13
2351247711,-3156,-17001,-5728,275,174,-9
2351267700,-2607,-16957,-5488,191,203,-12
2351287689,-5056,-16736,-4783,86,-12,25
2351307678,-5095,-16702,-2218,60,167,27
2351327667,-4569,-16343,-594,77,91,-32
2351347656,-6145,-16022,-1722,95,104,-62
2351367645,-5368,-15461,-3545,124,428,-57
2351387634,-4067,-14902,-5337,139,496,-54
2351407623,-3601,-15046,-5383,89,319,-43
2351427612,-3104,-15510,-4268,46,93,-27
2351447601,-3007,-15198,-4428,35,-119,-31
2351467590,-2731,-14620,-5430,38,-280,-70
2351487579,-3215,-14472,-6789,28,-404,-88
2351507568,-2965,-14879,-7049,-18,-517,-84
2351527557,-2715,-15386,-5436,-88,-677,-111
2351547546,-2754,-15595,-3529,-130,-818,-138
2351567535,-3571,-15482,-2953,-172,-728,-118
2351587524,-3334,-14871,-3898,-165,-502,-90
2351607513,-3090,-14524,-6457,-155,-441,-117
2351627502,-2463,-14240,-8563,-166,-450,-194
2351647491,-2400,-14091,-8728,-148,-409,-272
2351667480,-2849,-14533,-7918,-91,-544,-333
2351687469,-2638,-15044,-5704,-65,-767,-407
2351707458,-4796,-15248,-1745,-173,-957,-224
2351727447,-4789,-15775,-760,-118,-1141,-46
2351747436,-3078,-16469,-2340,-29,-1024,-68
2351767425,-3556,-16780,-4130,-70,-909,-50
2351787414,-5557,-16451,-4900,-149,-576,-22
2351807403,-6805,-14878,-4175,-134,90,17
2351827392,-1952,-14103,-1820,-35,499,-21
2351847381,-1682,-14031,-3843,-37,130,-98
2351867370,-4337,-13511,-5090,-81,-41,-134
2351887359,-2973,-14096,-4640,-31,162,-128
2351907348,-909,-15138,-4559,35,147,-97
2351927337,-982,-15609,-4083,67,-65,-66
2351947326,-3710,-15744,-4589,65,-225,-43
