Timestamp(us), mx, my, mz
2348169403,634,-356,-1855
2348189392,628,-386,-1869
2348209381,610,-374,-1892
2348229370,622,-368,-1832
2348249359,610,-386,-1844
2348269348,622,-398,-1869
2348289337,634,-368,-1821
2348309326,616,-386,-1857
2348329315,616,-380,-1857
2348349304,610,-350,-1880
2348369293,628,-380,-1857
2348389282,616,-368,-1869
2348409271,628,-374,-1844
2348429260,616,-374,-1844
2348449249,604,-374,-1869
2348469238,622,-368,-1844
2348489227,628,-374,-1844
2348509216,622,-380,-1855
2348529205,616,-380,-1832
2348549194,622,-368,-1844
2348569183,616,-362,-1832
2348589172,628,-386,-1844
2348609161,622,-380,-1880
2348629150,622,-386,-1869
2348649139,628,-368,-1855
2348669128,616,-380,-1832
2348689117,622,-374,-1857
2348709106,628,-392,-1844
2348729095,634,-368,-1844
2348749084,622,-374,-1869
2348769073,622,-386,-1855
2348789062,604,-368,-1832
2348809051,622,-380,-1832
2348829040,604,-380,-1880
2348849029,616,-368,-1844
2348869018,628,-374,-1869
2348889007,628,-380,-1869
2348908996,622,-380,-1844
2348928985,622,-380,-1855
2348948974,622,-386,-1857
2348968963,610,-362,-1855
2348988952,616,-380,-1844
2349008941,616,-380,-1844
2349028930,622,-380,-1844
2349048919,598,-386,-1844
2349068908,616,-392,-1869
2349088897,616,-392,-1857
2349108886,616,-410,-1832
2349128875,634,-386,-1807
2349148864,616,-392,-1832
2349168853,610,-398,-1844
2349188842,622,-410,-1809
2349208831,616,-398,-1821
2349228820,628,-416,-1809
2349248809,628,-416,-1807
2349268798,640,-421,-1759
2349288787,634,-433,-1748
2349308776,658,-427,-1748
2349328765,640,-439,-1700
2349348754,640,-469,-1723
2349368743,634,-457,-1675
2349388732,652,-457,-1700
2349408721,658,-463,-1700
2349428710,669,-475,-1650
2349448699,663,-475,-1626
2349468688,675,-493,-1578
2349488677,675,-487,-1565
2349508666,681,-504,-1540
2349528656,675,-504,-1528
2349548645,693,-493,-1528
2349568634,711,-510,-1492
2349588623,705,-510,-1455
2349608612,705,-522,-1396
2349628601,705,-516,-1382
2349648590,723,-534,-1371
2349668579,705,-540,-1348
2349688568,699,-558,-1359
2349708557,705,-570,-1311
2349728546,699,-582,-1311
2349748535,693,-605,-1334
2349768524,687,-611,-1286
2349788513,699,-617,-1273
2349808502,675,-629,-1273
2349828491,669,-647,-1238
2349848480,658,-670,-1201
2349868469,658,-676,-1176
2349888458,664,-700,-1213
2349908447,640,-724,-1153
2349928436,628,-753,-1153
2349948425,604,-753,-1115
2349968414,604,-807,-1092
2349988403,575,-813,-1019
2350008392,563,-842,-971
2350028381,527,-860,-873
2350048370,509,-866,-836
2350068359,492,-884,-813
2350088348,486,-896,-740
2350108337,462,-890,-703
2350128326,438,-908,-678
2350148315,420,-919,-630
2350168304,415,-931,-557
2350188293,415,-925,-594
2350208282,367,-943,-546
2350228271,379,-931,-532
2350248260,373,-931,-484
2350268249,367,-931,-484
2350288238,367,-937,-484
2350308227,349,-937,-496
2350328216,361,-937,-546
2350348205,379,-949,-496
2350368194,349,-955,-521
2350388183,379,-931,-532
2350408172,367,-925,-569
2350428161,361,-937,-532
2350448150,355,-931,-582
2350468139,361,-937,-582
2350488128,367,-943,-569
2350508117,343,-961,-521
2350528106,349,-955,-582
2350548095,361,-979,-532
2350568084,337,-973,-534
2350588073,332,-991,-532
2350608062,314,-1002,-498
2350628051,326,-1008,-521
2350648040,343,-1003,-521
2350668029,332,-1008,-557
2350688018,320,-1026,-546
2350708007,314,-1008,-582
2350727996,314,-1032,-605
2350747985,314,-1044,-582
2350767974,314,-1056,-582
2350787963,320,-1050,-642
2350807952,308,-1056,-667
2350827941,326,-1062,-703
2350847930,326,-1068,-655
2350867919,326,-1080,-715
2350887908,332,-1062,-692
2350907897,326,-1062,-763
2350927886,320,-1062,-751
2350947875,320,-1080,-715
2350967864,349,-1062,-703
2350987854,326,-1091,-703
2351007843,320,-1085,-751
2351027832,320,-1103,-751
2351047821,302,-1109,-765
2351067810,284,-1103,-740
2351087799,284,-1133,-740
2351107788,266,-1127,-763
2351127777,266,-1127,-751
2351147766,260,-1139,-728
2351167755,260,-1151,-728
2351187744,249,-1157,-728
2351207733,213,-1169,-692
2351227722,231,-1151,-692
2351247711,237,-1180,-692
2351267700,237,-1174,-655
2351287689,243,-1169,-667
2351307678,231,-1163,-692
2351327667,225,-1180,-655
2351347656,237,-1169,-642
2351367645,249,-1163,-655
2351387634,243,-1180,-655
2351407623,243,-1163,-642
2351427612,231,-1145,-605
2351447601,237,-1186,-605
2351467590,231,-1151,-619
2351487579,231,-1151,-605
2351507568,219,-1157,-619
2351527557,231,-1157,-630
2351547546,207,-1169,-605
2351567535,219,-1151,-619
2351587524,201,-1139,-619
2351607513,213,-1157,-582
2351627502,195,-1157,-582
2351647491,177,-1157,-642
2351667480,207,-1133,-667
2351687469,171,-1145,-619
2351707458,160,-1157,-667
2351727447,166,-1169,-692
2351747436,160,-1163,-678
2351767425,166,-1145,-667
2351787414,154,-1157,-715
2351807403,148,-1145,-692
2351827392,160,-1157,-728
2351847381,154,-1151,-740
