Timestamp(us), ax, ay, az, gx, gy, gz, mx, my, mz,period
3531778869,-717,-876,-15702,-470,650,254,65,225,-1817,0
3531798858,-1422,-679,-16033,-606,450,560,65,237,-1842,0
3531818847,-742,-196,-15800,-574,570,873,53,243,-1817,0
3531838836,-536,-174,-15713,-413,578,1233,53,249,-1805,0
3531858825,-1060,-904,-16255,-261,518,1379,35,261,-1842,0
3531878814,-895,-657,-17367,-160,618,1196,5,243,-1792,0
3531898803,-499,-207,-18316,-327,552,906,17,219,-1805,0
3531918792,-935,297,-17528,-681,224,660,5,231,-1780,0
3531938781,385,501,-15493,-995,-132,510,0,261,-1769,0
3531958770,947,1120,-14843,-836,92,368,0,255,-1769,0
3531978759,1250,1672,-15683,-462,521,501,-6,261,-1769,0
3531998748,1515,2113,-16140,-187,1047,830,-30,255,-1744,0
3532018737,1798,1329,-16957,128,1547,1085,-42,243,-1730,0
3532038726,321,-6,-16729,519,1702,987,-72,243,-1719,0
3532058715,1007,-61,-15409,596,1431,542,-101,225,-1707,0
3532078704,3307,723,-15052,188,1004,341,-96,213,-1719,0
3532098693,4006,1078,-15126,-186,686,424,-119,225,-1671,0
3532118682,3946,1170,-14170,-333,279,496,-113,213,-1646,0
3532138671,3045,1377,-13880,-274,115,527,-119,231,-1671,0
3532158660,1727,1329,-14901,-77,188,654,-131,184,-1657,0
3532178649,1944,933,-15511,140,379,723,-125,201,-1646,0
3532198638,8657,-104,-14214,200,537,853,-137,184,-1657,0
3532218627,6503,8,-15647,-11,896,1004,-155,201,-1634,0
3532238616,-518,704,-16386,434,1238,740,-161,172,-1657,0
3532258605,4798,-234,-15341,1262,415,352,-179,172,-1646,0
3532278594,3641,-203,-14893,1240,-315,598,-185,160,-1671,0
3532298583,4659,39,-14700,686,61,707,-173,136,-1621,0
3532318572,2870,-81,-14487,119,279,844,-179,130,-1659,0
3532338562,4366,-5893,-13621,227,490,569,-185,124,-1596,0
3532358551,5448,-576,-17006,-52,232,-788,-185,112,-1646,0
3532378540,5772,-828,-15079,-384,289,-29,-191,118,-1657,0
3532398529,5736,-2278,-13351,117,273,513,-191,124,-1621,0
3532418518,4699,-1803,-13140,729,212,374,-196,106,-1634,0
3532438507,3173,-1428,-15745,993,629,372,-208,100,-1609,0
3532458496,3192,-1322,-16141,977,598,384,-208,95,-1632,0
3532478485,3579,-1683,-15350,401,-156,485,-214,77,-1657,0
3532498474,4516,-1251,-16176,-496,-312,510,-202,71,-1671,0
3532518463,3077,-1701,-16312,-1080,631,488,-202,95,-1609,0
3532538452,3380,-774,-15106,-866,1293,291,-214,83,-1621,0
3532558441,6023,233,-14565,-675,1300,376,-232,95,-1559,0
3532578430,5957,-1182,-15651,-1023,610,748,-238,100,-1609,0
3532598419,4730,-2107,-15918,-1356,326,897,-256,95,-1534,0
3532618408,5679,-2103,-15169,-1270,420,798,-250,89,-1534,0
3532638397,6210,-1567,-14955,-646,537,105,-238,89,-1486,0
3532658386,6701,-548,-13611,-1111,659,-472,-256,112,-1486,0
3532678375,6316,3370,-11082,-250,601,-274,-244,112,-1486,0
3532698364,7127,733,-14147,539,-317,-1070,-262,124,-1461,0
3532718353,7574,312,-13429,62,-449,-1271,-268,142,-1473,0
3532738342,9792,-2,-14819,-496,-96,-621,-250,136,-1486,0
3532758331,4771,-428,-14712,-517,-131,322,-256,142,-1511,0
3532778320,4921,338,-13246,-404,-84,95,-256,148,-1486,0
3532798309,4946,1771,-11992,-711,246,-293,-244,124,-1498,0
3532818298,3192,2466,-14364,-1563,591,-1186,-256,160,-1461,0
3532838287,10633,1762,-15251,-1534,339,-2160,-226,190,-1411,0
3532858276,12389,2031,-14511,-1069,523,-989,-232,207,-1386,0
3532878265,6238,3080,-15649,-613,622,61,-244,207,-1375,0
3532898254,7742,3324,-13500,-287,-133,-255,-232,231,-1375,0
3532918243,7086,2809,-14195,-431,-519,-220,-238,237,-1400,0
3532938232,6487,3216,-15196,-338,-553,-220,-244,231,-1400,0
3532958221,6145,3313,-15020,45,-780,-180,-226,249,-1400,0
3532978210,4874,2999,-14517,418,-1094,-61,-226,237,-1436,0
3532998199,4281,2818,-14201,641,-1265,-272,-208,249,-1473,0
3533018188,5216,3487,-13292,576,-1283,-539,-196,231,-1486,0
3533038177,5594,3710,-13519,254,-829,-587,-179,225,-1486,0
3533058166,5252,4111,-15178,111,-170,-448,-185,261,-1511,0
3533078155,4367,3654,-15226,154,-218,-322,-191,237,-1523,0
3533098144,4652,2756,-15104,54,-322,-439,-185,237,-1523,0
3533118133,4694,2217,-15937,-102,-310,-543,-161,237,-1548,0
3533138122,4103,3044,-16044,-188,-496,-582,-155,261,-1548,0
3533158111,3777,4152,-14527,-39,-783,-533,-143,279,-1523,0
3533178100,2960,4799,-13709,-166,-715,-457,-137,261,-1559,0
3533198089,3201,4697,-14476,-529,-280,-526,-137,285,-1559,0
3533218078,3981,4077,-15005,-691,86,-402,-137,273,-1534,0
3533238067,3981,4077,-15005,-596,-45,-21,-143,314,-1559,0
3533258056,4168,3424,-15258,-596,-45,-21,-143,308,-1548,0
3533278045,4258,4021,-15490,-455,-640,458,-143,308,-1548,0
3533298034,4255,5065,-15650,-301,-733,656,-137,285,-1571,0
3533318023,3255,5002,-15110,-234,-547,320,-125,279,-1548,0
3533338012,1730,3332,-14386,-359,-310,516,-125,285,-1559,0
3533358001,2047,3777,-14970,-530,-197,554,-119,285,-1559,0
3533377990,2503,5305,-16115,-370,-36,258,-137,302,-1523,0
3533397979,2764,5370,-15116,-324,46,172,-125,285,-1511,0
3533417968,3018,4946,-14848,-266,260,166,-149,308,-1548,0
3533437957,3111,4630,-15078,-63,283,115,-143,296,-1534,0
3533457946,3438,4742,-14735,-5,133,15,-143,296,-1536,0
3533477935,3284,4896,-14656,-20,40,22,-149,296,-1548,0
3533497924,3162,4966,-14840,13,-64,13,-137,279,-1523,0
3533517913,3052,4835,-14710,125,-121,-30,-143,285,-1509,0
3533537902,2870,4629,-14882,226,-109,-93,-125,290,-1559,0
3533557891,2930,4566,-15025,326,-155,-128,-125,285,-1548,0
3533577880,2752,4457,-15195,352,-168,-113,-131,285,-1534,0
3533597869,2782,4482,-14975,335,-133,-74,-131,279,-1571,0
3533617858,2675,4562,-15011,238,-76,16,-131,290,-1559,0
3533637847,2765,4565,-15280,164,-85,80,-119,285,-1534,0
3533657836,2556,4324,-15075,167,-115,70,-137,290,-1573,0
3533677825,2822,4040,-14992,156,-59,-32,-107,279,-1548,0
3533697814,2819,4333,-15036,190,-97,-9,-131,279,-1598,0
3533717803,2657,4571,-15158,155,-61,11,-131,273,-1559,0
3533737792,2313,3939,-15025,119,41,-23,-131,302,-1559,0
3533757781,2250,4050,-15133,125,115,59,-137,273,-1609,0
3533777770,2510,4252,-15319,73,87,75,-107,285,-1573,0
3533797760,2768,4048,-14882,2,37,25,-143,279,-1573,0
3533817749,3057,4053,-14823,-18,72,-21,-131,273,-1573,0
3533837738,2517,3775,-15271,104,97,-74,-143,267,-1573,0
3533857727,2650,3632,-15266,259,49,-120,-137,285,-1548,0
3533877716,3487,3847,-15073,276,-30,-71,-143,296,-1561,0
3533897705,2858,3462,-15168,177,-31,56,-131,285,-1584,0
3533917694,2585,3344,-15352,149,-77,85,-125,273,-1584,0
3533937683,2463,3402,-15268,116,-92,87,-107,279,-1559,0
3533957672,2538,3295,-15362,81,-60,84,-143,285,-1573,0
3533977661,411,-1458,-14048,-134,-32,-84,-131,255,-1598,0
3533997650,1302,2984,-16477,-655,98,186,-149,255,-1598,0
3534017639,3455,3585,-15632,146,-271,504,-161,249,-1536,0
3534037628,4323,4529,-15201,183,-322,459,-167,255,-1534,0
3534057617,4205,5326,-14884,61,-147,108,-167,249,-1534,0
3534077606,3457,4439,-15644,9,-112,-247,-155,243,-1598,0
3534097595,2800,4158,-16047,-67,-133,-311,-161,243,-1559,0
3534117584,4942,5996,-16780,-66,-563,-341,-143,255,-1559,0
3534137573,5657,3820,-14131,104,-1015,-606,-149,261,-1546,0
3534157562,2997,2696,-15839,211,-952,-783,-155,255,-1609,0
3534177551,2961,2853,-16668,236,-873,-726,-113,243,-1596,0
3534197540,2771,2761,-17811,-20,-1268,-534,-125,285,-1634,0
3534217529,2621,1528,-16368,-739,-1909,334,-96,285,-1621,0
3534237518,2475,1961,-16170,-1509,-2034,1212,-90,290,-1632,0
3534257507,946,3737,-17398,-2453,-1931,1143,-90,302,-1634,0
3534277496,-997,6724,-16742,-3256,-2295,1417,-72,320,-1657,0
3534297485,-2343,8195,-15179,-2284,-2233,459,-66,332,-1596,0
3534317474,-422,5113,-14219,-1887,-595,-375,-54,356,-1596,0
