Timestamp(us), mx, my, mz
3531778869,65,225,-1817
3531798858,65,237,-1842
3531818847,53,243,-1817
3531838836,53,249,-1805
3531858825,35,261,-1842
3531878814,5,243,-1792
3531898803,17,219,-1805
3531918792,5,231,-1780
3531938781,0,261,-1769
3531958770,0,255,-1769
3531978759,-6,261,-1769
3531998748,-30,255,-1744
3532018737,-42,243,-1730
3532038726,-72,243,-1719
3532058715,-101,225,-1707
3532078704,-96,213,-1719
3532098693,-119,225,-1671
3532118682,-113,213,-1646
3532138671,-119,231,-1671
3532158660,-131,184,-1657
3532178649,-125,201,-1646
3532198638,-137,184,-1657
3532218627,-155,201,-1634
3532238616,-161,172,-1657
3532258605,-179,172,-1646
3532278594,-185,160,-1671
3532298583,-173,136,-1621
3532318572,-179,130,-1659
3532338562,-185,124,-1596
3532358551,-185,112,-1646
3532378540,-191,118,-1657
3532398529,-191,124,-1621
3532418518,-196,106,-1634
3532438507,-208,100,-1609
3532458496,-208,95,-1632
3532478485,-214,77,-1657
3532498474,-202,71,-1671
3532518463,-202,95,-1609
3532538452,-214,83,-1621
3532558441,-232,95,-1559
3532578430,-238,100,-1609
3532598419,-256,95,-1534
3532618408,-250,89,-1534
3532638397,-238,89,-1486
3532658386,-256,112,-1486
3532678375,-244,112,-1486
3532698364,-262,124,-1461
3532718353,-268,142,-1473
3532738342,-250,136,-1486
3532758331,-256,142,-1511
3532778320,-256,148,-1486
3532798309,-244,124,-1498
3532818298,-256,160,-1461
3532838287,-226,190,-1411
3532858276,-232,207,-1386
3532878265,-244,207,-1375
3532898254,-232,231,-1375
3532918243,-238,237,-1400
3532938232,-244,231,-1400
3532958221,-226,249,-1400
3532978210,-226,237,-1436
3532998199,-208,249,-1473
3533018188,-196,231,-1486
3533038177,-179,225,-1486
3533058166,-185,261,-1511
3533078155,-191,237,-1523
3533098144,-185,237,-1523
3533118133,-161,237,-1548
3533138122,-155,261,-1548
3533158111,-143,279,-1523
3533178100,-137,261,-1559
3533198089,-137,285,-1559
3533218078,-137,273,-1534
3533238067,-143,314,-1559
3533258056,-143,308,-1548
3533278045,-143,308,-1548
3533298034,-137,285,-1571
3533318023,-125,279,-1548
3533338012,-125,285,-1559
3533358001,-119,285,-1559
3533377990,-137,302,-1523
3533397979,-125,285,-1511
3533417968,-149,308,-1548
3533437957,-143,296,-1534
3533457946,-143,296,-1536
3533477935,-149,296,-1548
3533497924,-137,279,-1523
3533517913,-143,285,-1509
3533537902,-125,290,-1559
3533557891,-125,285,-1548
3533577880,-131,285,-1534
3533597869,-131,279,-1571
3533617858,-131,290,-1559
3533637847,-119,285,-1534
3533657836,-137,290,-1573
3533677825,-107,279,-1548
3533697814,-131,279,-1598
3533717803,-131,273,-1559
3533737792,-131,302,-1559
3533757781,-137,273,-1609
3533777770,-107,285,-1573
3533797760,-143,279,-1573
3533817749,-131,273,-1573
3533837738,-143,267,-1573
3533857727,-137,285,-1548
3533877716,-143,296,-1561
3533897705,-131,285,-1584
3533917694,-125,273,-1584
3533937683,-107,279,-1559
3533957672,-143,285,-1573
3533977661,-131,255,-1598
3533997650,-149,255,-1598
3534017639,-161,249,-1536
3534037628,-167,255,-1534
3534057617,-167,249,-1534
3534077606,-155,243,-1598
3534097595,-161,243,-1559
3534117584,-143,255,-1559
3534137573,-149,261,-1546
3534157562,-155,255,-1609
3534177551,-113,243,-1596
3534197540,-125,285,-1634
3534217529,-96,285,-1621
3534237518,-90,290,-1632
3534257507,-90,302,-1634
3534277496,-72,320,-1657
3534297485,-66,332,-1596
3534317474,-54,356,-1596
3534337463,-48,380,-1548
3534357452,-36,385,-1548
3534377441,-42,421,-1511
3534397430,-18,421,-1450
3534417419,-24,439,-1413
3534437408,-6,481,-1388
3534457397,-18,492,-1388
3534477386,-30,510,-1313
3534497375,-24,498,-1290
3534517364,-30,486,-1338
3534537353,-48,481,-1363
3534557342,-60,463,-1411
3534577331,-66,469,-1388
3534597320,-78,492,-1351
3534617309,-72,486,-1326
3534637298,-113,475,-1276
3534657287,-113,492,-1301
3534677276,-125,510,-1240
3534697265,-96,504,-1240
3534717254,-60,528,-1265
3534737243,-30,528,-1276
3534757232,-24,558,-1326
3534777221,17,546,-1350
3534797210,29,564,-1400
3534817199,112,564,-1411
3534837188,178,581,-1375
3534857177,243,570,-1400
3534877166,249,575,-1448
3534897155,267,599,-1461
3534917144,296,593,-1450
3534937133,320,558,-1486
3534957122,350,546,-1559
3534977111,380,528,-1621
3534997100,397,510,-1682
3535017089,403,486,-1719
3535037078,421,463,-1769
3535057067,427,445,-1819
3535077056,439,445,-1855
3535097045,421,421,-1903
3535117034,439,391,-1903
3535137023,445,368,-1965
3535157012,445,344,-1976
3535177001,457,338,-2001
3535196990,445,296,-2051
3535216979,439,285,-2100
3535236968,439,285,-2100
3535256958,463,261,-2113
3535276947,457,255,-2150
3535296936,439,261,-2138
3535316925,397,296,-2186
3535336914,386,279,-2163
3535356903,415,231,-2200
3535376892,433,231,-2186
3535396881,445,213,-2161
3535416870,451,225,-2150
3535436859,433,243,-2161
3535456848,445,237,-2150
3535476837,439,231,-2150
3535496826,451,243,-2161
3535516815,439,219,-2125
3535536804,451,231,-2161
3535556793,439,261,-2161
3535576782,439,249,-2125
3535596771,409,237,-2150
3535616760,433,237,-2173
3535636749,427,261,-2161
3535656738,427,290,-2125
3535676727,391,273,-2125
3535696716,385,273,-2113
3535716705,380,267,-2138
3535736694,368,273,-2150
3535756683,368,255,-2161
3535776672,356,243,-2200
3535796661,344,255,-2200
3535816650,332,243,-2150
3535836639,344,237,-2186
3535856628,332,231,-2175
3535876617,332,243,-2211
3535896606,332,231,-2186
3535916595,326,249,-2223
3535936584,332,237,-2186
3535956573,296,225,-2161
3535976562,302,237,-2186
3535996551,302,243,-2200
3536016540,302,231,-2211
3536036529,296,219,-2175
3536056518,296,243,-2186
3536076507,290,243,-2175
3536096496,302,225,-2150
3536116485,308,243,-2186
3536136474,308,231,-2186
3536156463,290,231,-2173
3536176452,302,225,-2161
3536196441,290,243,-2186
3536216430,302,219,-2150
3536236419,320,213,-2088
3536256408,279,243,-2125
3536276397,302,225,-2150
3536296386,290,195,-2161
3536316375,290,201,-2136
3536336364,273,219,-2138
3536356353,237,213,-2136
3536376342,231,219,-2150
3536396331,231,237,-2075
3536416320,237,249,-2088
3536436309,207,243,-2075
3536456298,195,267,-2063
3536476287,190,261,-2063
3536496276,172,255,-2075
3536516265,172,249,-2038
3536536254,154,261,-2001
3536556243,142,267,-2038
3536576232,124,261,-2026
3536596221,112,273,-2038
3536616210,112,261,-2013
3536636199,95,249,-2001
3536656188,89,261,-2026
3536676177,59,255,-1990
3536696166,53,255,-1976
3536716156,41,267,-1965
3536736145,41,273,-1976
3536756134,35,279,-1951
3536776123,59,273,-1940
3536796112,41,261,-1953
3536816101,53,267,-1915
3536836090,59,285,-1940
3536856079,47,273,-1915
3536876068,77,285,-1903
