Timestamp(us), mx, my, mz
3891621093,-36,-878,-1230
3891641082,-36,-896,-1230
3891661071,-36,-896,-1182
3891681060,-36,-896,-1205
3891701049,-54,-890,-1182
3891721038,-36,-908,-1132
3891741027,-72,-902,-1169
3891761016,-48,-896,-1194
3891781005,-72,-884,-1169
3891800994,-54,-920,-1132
3891820983,-78,-914,-1146
3891840972,-89,-908,-1109
3891860961,-72,-908,-1121
3891880950,-78,-908,-1121
3891900939,-72,-908,-1109
3891920928,-72,-914,-1084
3891940917,-72,-920,-1073
3891960906,-72,-902,-1059
3891980895,-54,-908,-1084
3892000885,-84,-908,-1096
3892020874,-78,-896,-1084
3892040863,-72,-896,-1121
3892060852,-60,-908,-1132
3892080841,-60,-926,-1121
3892100830,-66,-908,-1132
3892120819,-78,-920,-1146
3892140808,-54,-896,-1132
3892160797,-48,-914,-1109
3892180786,-54,-908,-1134
3892200775,-30,-920,-1169
3892220764,-54,-914,-1171
3892240753,-48,-920,-1146
3892260742,-42,-926,-1121
3892280731,-30,-914,-1182
3892300720,-36,-908,-1219
3892320709,-24,-920,-1169
3892340698,-30,-908,-1205
3892360687,-36,-938,-1194
3892380676,-18,-926,-1182
3892400665,-24,-902,-1244
3892420654,-24,-944,-1194
3892440643,-12,-920,-1255
3892460632,-36,-902,-1230
3892480621,-30,-902,-1244
3892500610,-36,-908,-1303
3892520599,-18,-890,-1267
3892540588,-12,-908,-1328
3892560577,11,-908,-1242
3892580566,5,-878,-1303
3892600555,5,-902,-1328
3892620544,11,-890,-1317
3892640533,29,-896,-1388
3892660522,35,-896,-1376
3892680511,35,-873,-1450
3892700500,59,-867,-1486
3892720489,65,-861,-1525
3892740478,71,-855,-1523
3892760467,71,-861,-1559
3892780456,100,-837,-1598
3892800445,106,-843,-1632
3892820434,142,-825,-1671
3892840423,130,-819,-1694
3892860412,142,-807,-1744
3892880401,154,-789,-1767
3892900390,160,-772,-1840
3892920379,172,-736,-1926
3892940368,166,-706,-1950
3892960357,177,-683,-1988
3892980346,177,-653,-2059
3893000335,201,-612,-2121
3893020324,195,-564,-2169
3893040313,172,-517,-2207
3893060302,183,-439,-2230
3893080291,183,-386,-2280
3893100280,189,-315,-2267
3893120269,183,-267,-2292
3893140258,160,-214,-2280
3893160247,166,-137,-2255
3893180236,160,-78,-2255
3893200225,136,-6,-2244
3893220214,124,47,-2207
3893240203,118,88,-2205
3893260192,94,148,-2134
3893280181,94,231,-2121
3893300170,88,237,-2073
3893320159,65,284,-2025
3893340148,47,326,-2000
3893360137,41,355,-1951
3893380126,53,373,-1915
3893400115,35,397,-1878
3893420104,35,409,-1876
3893440093,29,421,-1828
3893460083,23,415,-1865
3893480072,17,427,-1803
3893500061,29,433,-1840
3893520050,23,444,-1828
3893540039,11,433,-1840
3893560028,23,427,-1828
3893580017,23,421,-1840
3893600006,29,409,-1890
3893619995,47,361,-1926
3893639984,59,350,-1963
3893659973,53,332,-2036
3893679962,77,302,-2048
3893699951,118,261,-2084
3893719940,136,201,-2121
3893739929,142,177,-2182
3893759918,183,94,-2219
3893779907,195,65,-2255
3893799896,195,-6,-2244
3893819885,207,-54,-2269
3893839874,219,-125,-2269
3893859863,231,-190,-2317
3893879852,237,-244,-2328
3893899841,261,-297,-2280
3893919830,225,-380,-2269
3893939819,237,-422,-2219
3893959808,243,-499,-2182
3893979797,243,-558,-2084
3893999786,231,-600,-2048
3894019775,231,-653,-2050
3894039764,219,-665,-1975
3894059753,195,-712,-1901
3894079742,195,-760,-1853
3894099731,201,-766,-1744
3894119720,172,-813,-1719
3894139709,160,-813,-1621
3894159698,172,-837,-1584
3894179687,160,-843,-1561
3894199676,148,-878,-1486
3894219665,136,-878,-1463
3894239654,148,-878,-1450
3894259643,112,-878,-1365
3894279632,118,-878,-1376
3894299621,94,-855,-1351
3894319610,106,-873,-1365
3894339599,112,-861,-1365
